"","gameId","playId","x_defender","x_motion","x_receiver","y_defender","y_motion","y_receiver","nflId_defender","nflId_motion","nflId_receiver","teamAbbr_defender","teamAbbr_motion","teamAbbr_receiver"
"1",2022110700,1482,38.68,48.99,39.14,17.08,28.08,19.59,37724,45268,52609,"NO","BAL","BAL"
"2",2022110610,833,17.53,27.88,19.95,28.57,36.34,33.76,44869,52440,44874,"TEN","KC","KC"
"3",2022110610,2512,77.44,92.01,81.62,13.48,24.89,12.63,54500,40011,44874,"TEN","KC","KC"
"4",2022110610,3593,91.93,109.02,91.66,21.36,30.08,15.47,45643,47839,41325,"TEN","KC","KC"
"5",2022110610,4324,60.46,59.27,59.72,16.58,20.77,16.82,45643,53591,44874,"TEN","KC","KC"
"6",2022110609,367,96.07,92.49,95.12,40.41,8.9,39.06,43294,54571,41233,"LA","TB","TB"
"7",2022110609,754,30.97,32.54,30.16,17.38,36.13,13.89,43294,41233,54571,"LA","TB","TB"
"8",2022110609,778,38.12,38.59,36.17,21.97,3.93,22.06,38577,44896,44816,"LA","TB","TB"
"9",2022110609,1318,71.85,65.11,74.96,35.71,26.84,36.05,38577,41233,44816,"LA","TB","TB"
"10",2022110609,2495,105.48,97.61,104.75,18.37,45.21,18.33,38588,46830,41290,"TB","LA","LA"
"11",2022110609,3284,48.86,50.34,41.46,35.65,25.49,36.41,38577,44896,54556,"LA","TB","TB"
"12",2022110609,3913,113.49,109.25,113.86,40.13,4.3,38.98,43294,42369,41233,"LA","TB","TB"
"13",2022110608,169,43.48,55.6,49.41,43.04,6.99,42.01,47816,52552,47847,"ARI","SEA","SEA"
"14",2022110608,684,39.5,38.31,37.37,25.49,49.3,26.75,47941,53478,39983,"SEA","ARI","ARI"
"15",2022110608,883,77.2,53.32,77.34,33.96,17.56,24.68,47816,52541,47803,"ARI","SEA","SEA"
"16",2022110608,1046,114.64,97.72,115.99,41.04,18.85,40.67,43986,54506,47847,"ARI","SEA","SEA"
"17",2022110607,174,70.99,68.89,70.39,5.77,14.16,4.54,53503,45094,52430,"WAS","MIN","MIN"
"18",2022110607,248,109.15,104.77,109.83,15.79,9.02,16.56,53503,47791,52430,"WAS","MIN","MIN"
"19",2022110607,829,37.94,25.7,45.62,17.49,22.63,19.06,42427,53553,47859,"MIN","WAS","WAS"
"20",2022110607,1940,86.71,66.01,86.09,16.9,12.41,18.31,37078,41349,44852,"MIN","WAS","WAS"
"21",2022110607,2827,10.03,22.99,11.88,37.86,16.55,40.08,37078,44852,53687,"MIN","WAS","WAS"
