"","gameId","playId","x_motion","x_receiver","x_defender","y_motion","y_receiver","y_defender","nflId_motion","nflId_receiver","nflId_defender","teamAbbr_motion","teamAbbr_receiver","teamAbbr_defender"
"1",2022091901,1311,79.63,92.61,87.74,50.22,15.78,12.62,47834,47836,52497,"PHI","PHI","MIN"
"2",2022091901,2491,69.96,58.69,52.8,38.13,14.46,11.8,46270,53439,52497,"PHI","PHI","MIN"
"3",2022091900,1663,100.27,96.77,99.96,32.53,17.72,15.74,47879,42489,54500,"BUF","BUF","TEN"
"4",2022091900,3555,57.08,41.23,37.49,45.21,35.74,37.75,39989,39646,54650,"TEN","TEN","BUF"
"5",2022091808,2546,28.48,38.14,38.83,42.94,43.66,44.31,54558,46256,54618,"SF","SF","SEA"
"6",2022091808,2622,34.18,36.79,38.33,9.18,41.51,42.73,54558,47819,54618,"SF","SF","SEA"
"7",2022091808,2695,59.15,59.65,61.58,28.87,14.58,16.33,52598,54570,52435,"SF","SF","SEA"
"8",2022091807,863,54,54.59,47.2,46.74,20.21,20.21,44881,52460,39908,"LA","LA","ATL"
"9",2022091807,1104,32.3,53.61,54.15,30.06,26.94,28.48,48723,46992,42816,"ATL","ATL","LA"
"10",2022091807,1971,85.05,69.85,82.74,15.82,16.88,6.42,44881,52460,39908,"LA","LA","ATL"
"11",2022091807,2039,75.19,85.83,82.66,12.6,8.58,8.64,46830,44881,39908,"LA","LA","ATL"
"12",2022091807,2293,40.5,52.76,53.5,48.03,22.58,20.2,53486,44881,46823,"LA","LA","ATL"
"13",2022091806,706,47.3,61.45,49.85,49.27,33.03,33.06,54517,53484,47938,"PIT","PIT","NE"
"14",2022091806,758,56.86,43.18,46.32,45.57,37.82,34.02,54517,47849,47938,"PIT","PIT","NE"
"15",2022091806,3419,43.41,27.92,40.19,35.43,17.26,18.95,53484,53453,47826,"PIT","PIT","NE"
"16",2022091804,2135,58.11,61.04,64.03,27.61,12.49,10.3,46263,47991,41257,"TB","TB","NO"
"17",2022091804,2416,59.49,55.4,58.87,36.87,40.2,36.27,46263,42369,41257,"TB","TB","NO"
"18",2022091804,2492,66.47,82.39,82.96,26.81,29.73,27,54571,47991,41257,"TB","TB","NO"
"19",2022091804,3251,63.33,59.93,58.06,27.97,41.91,43.38,46263,47991,41257,"TB","TB","NO"
"20",2022091802,174,75.66,76.22,70.81,15.74,11.97,10.58,54481,41349,47864,"WAS","WAS","DET"
"21",2022091802,774,94.02,92.36,95.54,23.44,41.46,39.63,53541,47791,53592,"DET","DET","WAS"
"22",2022091802,1010,49.29,26.86,28.24,29.16,17.32,18.79,47791,46130,53592,"DET","DET","WAS"
"23",2022091802,1393,13.27,7.94,9.67,42.37,35.81,35.07,53541,44930,53592,"DET","DET","WAS"
"24",2022091802,1502,42.84,44.57,43.74,40.34,15.72,10.84,44852,54481,47864,"WAS","WAS","DET"
"25",2022091802,2377,31.86,28.63,32.94,44.67,24.62,27.3,53541,47791,53592,"DET","DET","WAS"
"26",2022091801,105,49.47,63.78,62.1,27.22,11.38,11.76,53715,46226,44974,"NYJ","NYJ","CLE"
"27",2022091801,811,66.78,78.53,82,32.98,42.29,43.92,46226,53463,54533,"NYJ","NYJ","CLE"
"28",2022091801,930,14.53,10.98,10.3,18.63,42.68,41.2,53463,54475,54533,"NYJ","NYJ","CLE"
"29",2022091801,2390,76.89,59.08,56.58,8.87,39.07,39.46,53463,54475,54533,"NYJ","NYJ","CLE"
"30",2022091801,3271,45.11,43.22,46.12,8.34,18.13,18.66,54475,46226,44974,"NYJ","NYJ","CLE"
"31",2022091800,281,38.43,24.32,24.63,40.46,15.05,13.06,46192,43454,44828,"MIA","MIA","BAL"
"32",2022091800,447,60.14,72.51,74.94,27.39,38.78,38.62,45268,53456,43327,"BAL","BAL","MIA"
"33",2022091800,1108,89.46,80.8,79.36,24.56,16.93,15.72,45268,53456,43327,"BAL","BAL","MIA"
"34",2022091800,1377,77.78,69.08,62.18,31.36,9.06,9.89,54604,53456,43327,"BAL","BAL","MIA"
"35",2022091800,1597,37.88,36.43,43.68,38.92,22.13,13.22,43454,42718,54584,"MIA","MIA","BAL"
"36",2022091800,1642,62.96,64.9,69.84,19.26,6.03,6.09,43454,53435,54584,"MIA","MIA","BAL"
