"","gameId","playId","x_motion","x_receiver","x_defender","y_motion","y_receiver","y_defender","nflId_motion","nflId_receiver","nflId_defender","teamAbbr_motion","teamAbbr_receiver","teamAbbr_defender"
"1",2022100300,963,93.31,77.7,77.38,33.83,42.99,43.6,43399,44881,46757,"LA","LA","SF"
"2",2022100213,344,89.07,83.36,87.61,5.58,24.98,25.26,52440,40011,47788,"KC","KC","TB"
"3",2022100213,1119,66.55,83.18,76.37,35.63,33.48,36.23,37079,54556,52546,"TB","TB","KC"
"4",2022100213,1247,15.77,14.23,7.74,40.16,17.52,16.54,46263,41233,47846,"TB","TB","KC"
"5",2022100213,1331,45.88,50.81,47.45,12.88,35.27,33.16,40011,44874,47788,"KC","KC","TB"
"6",2022100213,2057,10.18,10.12,9.65,16.14,44.56,43.78,37079,41233,54708,"TB","TB","KC"
"7",2022100213,2261,68.63,62.55,64.87,18.53,34.61,34.45,40011,44874,52453,"KC","KC","TB"
"8",2022100213,2780,85.01,84.59,83.08,38.81,45.61,45.17,44896,41233,54708,"TB","TB","KC"
"9",2022100213,2947,28.4,40.99,35.48,18.91,31.8,36.17,44896,54556,52546,"TB","TB","KC"
"10",2022100213,3243,49.37,43.11,44.11,16.32,24.25,27.72,44874,40011,47788,"KC","KC","TB"
"11",2022100212,269,13.24,8.62,7.55,45.43,15.41,13.64,45555,41282,53438,"LV","LV","DEN"
"12",2022100212,666,76.35,85.7,78.25,33.39,41.05,32.75,42547,47807,46175,"LV","LV","DEN"
"13",2022100212,2161,83.08,55.95,53.91,42.81,13.73,12.76,41282,44931,53438,"LV","LV","DEN"
"14",2022100212,2387,18.61,20.12,15.69,18.91,12.5,10.86,42547,41282,53438,"LV","LV","DEN"
"15",2022100212,2997,98.74,98.26,99.51,22.53,47.86,47.24,42547,41282,53438,"LV","LV","DEN"
"16",2022100211,2478,55.36,47.31,49.21,34.91,16.87,22.51,54499,46705,47826,"GB","GB","NE"
"17",2022100211,3262,70.88,64.05,72.12,42.21,24.34,21.84,37139,52502,47826,"GB","GB","NE"
"18",2022100203,126,85.23,80.46,75.72,41.39,35.02,34.41,44917,39983,45004,"ARI","ARI","CAR"
"19",2022100203,1236,49.38,48.4,45.4,7.45,31.22,29.65,43808,44820,53445,"CAR","CAR","ARI"
"20",2022100203,1336,57.88,60.13,66.91,34.63,22.84,23.51,53478,47808,45004,"ARI","ARI","CAR"
"21",2022100206,155,40.43,32.54,28.77,29.44,12.47,11.64,53506,44819,54468,"LAC","LAC","HOU"
"22",2022100206,938,77.88,81.66,88.42,38.99,18.72,25.62,53506,44819,54468,"LAC","LAC","HOU"
"23",2022100206,2862,45.48,34.32,49.37,35.24,17.65,6.92,42794,46100,54468,"LAC","LAC","HOU"
"24",2022100205,326,81.15,81.91,87.47,43.26,17.1,20.56,53485,52541,54653,"SEA","SEA","DET"
"25",2022100205,627,31.25,45.27,47.52,46.76,18.33,21.45,54506,42412,52411,"SEA","SEA","DET"
"26",2022100205,680,69.24,84.57,85.95,45.64,38.43,42.48,42412,47847,52411,"SEA","SEA","DET"
"27",2022100202,524,57.09,54.31,60.86,10.07,25.96,33.95,52463,53456,52647,"BAL","BAL","BUF"
"28",2022100202,1966,89.24,104.59,100.68,14.28,22.34,19.48,47857,42489,44999,"BUF","BUF","BAL"
"29",2022100202,3666,77.86,72.91,74.36,38.95,41.82,41.97,42489,47879,44999,"BUF","BUF","BAL"
"30",2022100201,115,77.1,60.5,60.76,6.97,40.76,37.04,52523,44841,52542,"CLE","CLE","ATL"
"31",2022100201,831,89.04,80.36,74.82,44.26,10.27,9.97,44898,52595,52424,"CLE","CLE","ATL"
"32",2022092900,383,68.43,74.56,72.22,46.13,38.71,35.01,48233,53435,52473,"MIA","MIA","CIN"
"33",2022092900,1209,91.02,73.34,67.63,46.7,17.86,13.41,46671,43454,44872,"MIA","MIA","CIN"
"34",2022092900,2574,100.53,86.23,81.06,17.42,16.27,14.8,43454,46671,44872,"MIA","MIA","CIN"
"35",2022092900,2598,78.02,56.15,56.71,7.85,15.78,14.41,46671,43454,44872,"MIA","MIA","CIN"
"36",2022092900,3479,89.01,100.72,101.16,11.19,41.15,42.04,46671,53435,44872,"MIA","MIA","CIN"
"37",2022100300,775,92.11,75.32,80.19,31.08,29.94,30.81,44959,47819,38577,"SF","SF","LA"
"38",2022100213,416,64.74,60.89,57.72,34.85,38.98,37.25,40011,44874,52453,"KC","KC","TB"
"39",2022100213,1143,69.39,61.41,61.57,15.6,22.14,24.62,44896,41233,53487,"TB","TB","KC"
"40",2022092900,407,89.18,90.57,91.24,42.76,22.71,19,46671,46111,43641,"MIA","MIA","CIN"
"41",2022092900,857,38.94,64.17,61.73,49.25,33.61,32.63,42718,43454,44872,"MIA","MIA","CIN"
"42",2022092900,1781,69.91,59.81,55.12,8.93,43.96,45.66,42718,53435,43299,"MIA","MIA","CIN"
