"","gameId","playId","x_receiver","x_defender","x_motion","y_receiver","y_defender","y_motion","nflId_receiver","nflId_defender","nflId_motion","teamAbbr_receiver","teamAbbr_defender","teamAbbr_motion"
"1",2022102311,159,68.49,75.51,64.51,17.81,16.72,33.62,43454,46698,48233,"MIA","PIT","MIA"
"2",2022102311,758,92.65,97.17,89.16,19.38,17.9,44.04,43454,46698,46671,"MIA","PIT","MIA"
"3",2022102311,1244,61.25,61.37,72,33.61,35.29,16.37,43454,46698,48233,"MIA","PIT","MIA"
"4",2022102311,2970,86.44,87.63,89.83,26.8,29.11,1.97,43454,46698,53435,"MIA","PIT","MIA"
"5",2022102311,3798,NA,44.33,57.37,NA,28.53,32.49,NA,46698,48233,NA,"PIT","MIA"
"6",2022102310,77,66.92,68.42,65.22,28.75,27.6,46.29,44959,53487,46256,"SF","KC","SF"
"7",2022102310,101,47.66,48.55,63.77,22.8,24.13,49.24,44959,53487,40078,"SF","KC","SF"
"8",2022102310,1057,82.88,86.6,82.78,20.5,22.79,41.34,44959,46137,47819,"SF","KC","SF"
"9",2022102310,1653,43.47,40.28,42.49,15.83,13.27,5.6,44959,46137,40078,"SF","KC","SF"
"10",2022102309,1148,49.15,37.73,29.92,13.05,44.42,48.88,42794,46711,40024,"LAC","SEA","LAC"
"11",2022102309,1299,19.06,17.3,28.92,44.9,43.42,46.28,42794,46711,45573,"LAC","SEA","LAC"
"12",2022102309,2548,60.89,63.5,72.1,10.84,10.06,26.4,45573,46711,42794,"LAC","SEA","LAC"
"13",2022102309,3993,21.32,21.49,21.34,9.67,10.52,2.98,48576,46711,53244,"LAC","SEA","LAC"
"14",2022102308,2311,19.38,12.93,27.57,14.4,17.22,10.52,42372,53472,41246,"HOU","LV","HOU"
"15",2022102307,2287,50.01,50.26,69.79,14.44,13.32,33.9,46109,46211,48096,"DEN","NYJ","DEN"
"16",2022102307,2333,61.97,60.9,63.52,26.49,24.85,22.24,46109,46211,52423,"DEN","NYJ","DEN"
"17",2022102307,3402,53,46.63,59.01,32.73,30.81,47.67,46226,35459,46279,"NYJ","DEN","NYJ"
"18",2022102306,2989,97.96,102.82,103.02,25.3,21.95,36.99,47859,46087,46362,"WAS","GB","WAS"
"19",2022102306,3897,80.57,79.14,88.22,15.01,16.88,31.2,47859,46087,43722,"WAS","GB","WAS"
"20",2022102305,172,77.87,74.92,71.28,20.06,18.3,46.53,43334,47872,46506,"TEN","IND","TEN"
"21",2022102305,1446,76.11,88.25,84.2,24.3,29.31,16.49,43334,47872,46506,"TEN","IND","TEN"
"22",2022102305,3263,37.81,37.27,34.86,26.86,27.78,44.18,53074,47872,43370,"TEN","IND","TEN"
"23",2022102303,826,93.27,94.51,91.38,35.68,29.11,4.69,46206,44888,52425,"DAL","DET","DAL"
"24",2022102303,3185,103.81,105.95,105.08,26.35,22.8,19.37,46206,44888,52425,"DAL","DET","DAL"
"25",2022102301,101,64.52,64.42,58.9,38.11,39.2,16.61,41233,46124,44896,"TB","CAR","TB"
"26",2022102301,2121,85.75,89.25,92.04,34.9,38.34,9.8,41233,46124,44896,"TB","CAR","TB"
"27",2022102301,2419,78.63,70.32,92.61,6.3,11.12,9.44,46093,47877,55014,"CAR","TB","CAR"
"28",2022102301,3295,49.83,50.69,39.14,21.2,22.59,23.41,46093,47877,52858,"CAR","TB","CAR"
"29",2022102300,705,85.04,74.85,96.5,36.82,29.08,24.71,46437,43341,45268,"BAL","CLE","BAL"
"30",2022102300,2601,65.84,64.26,58.4,34.55,31.21,41.33,52500,43341,46155,"BAL","CLE","BAL"
"31",2022102000,145,45.76,44,58.47,11.51,9.89,25.54,55133,53565,45244,"NO","ARI","NO"
"32",2022102000,2463,73.73,72.11,89.25,24.47,26.44,11.15,39983,54514,52630,"ARI","NO","ARI"
"33",2022102000,3026,41.36,41.47,39.13,6.44,7.48,34.02,43808,54514,39983,"ARI","NO","ARI"
"34",2022102307,960,103.62,107.01,99.03,45.14,41.17,19.47,52423,41270,52454,"DEN","NYJ","DEN"
"35",2022102307,1858,47.59,44.83,45.47,27.44,27.96,14.36,46279,52706,54475,"NYJ","DEN","NYJ"
"36",2022102301,1851,61.54,63.69,80.77,11.85,11.7,32.52,41233,52417,47991,"TB","CAR","TB"
"37",2022102000,387,70.72,71.67,72.16,14.69,13.3,5.32,54476,53565,55133,"NO","ARI","NO"
