"","gameId","playId","teamAbbr_receiver","teamAbbr_defender","distance","nflId_motion","nflId_receiver","nflId_defender","expected","exp_vaue_ou"
"1",2022091200,85,"SEA","DEN",2.80791419167169,46096,47847,53438,2.61072261072261,0.197191580949081
"2",2022091200,786,"DEN","SEA",0.262968756181909,52423,52526,42827,2.61072261072261,-2.3477538545407
"3",2022091200,1004,"SEA","DEN",4.84425994527215,42412,47847,53438,2.61072261072261,2.23353733454954
"4",2022091200,2009,"DEN","SEA",6.31462673049126,52660,46109,42827,2.61072261072261,3.70390411976865
"5",2022091200,2688,"DEN","SEA",0.162315923030004,52423,52526,42543,2.61072261072261,-2.44840668769261
"6",2022091200,3048,"DEN","SEA",3.30001854038312,52423,53464,47871,2.61072261072261,0.689295929660505
"7",2022091200,3296,"DEN","SEA",5.75590374272461,52423,53464,47871,2.61072261072261,3.145181132002
"8",2022091200,3382,"DEN","SEA",1.02480602687574,46109,52423,42827,2.61072261072261,-1.58591658384687
"9",2022091200,3596,"DEN","SEA",2.60467511544312,52423,52526,42543,2.61072261072261,-0.00604749527948911
"10",2022091113,267,"DAL","TB",0.954907285717593,52425,45052,47877,2.61072261072261,-1.65581532500502
"11",2022091113,465,"TB","DAL",1.91891852667772,37079,41233,43478,2.61072261072261,-0.691804084044891
"12",2022091113,1609,"DAL","TB",1.99188869113628,47911,52425,47877,2.61072261072261,-0.618833919586331
"13",2022091113,1631,"DAL","TB",1.8198955288752,46206,52425,47788,2.61072261072261,-0.790827081847414
"14",2022091113,2470,"TB","DAL",1.33287995165252,46263,41233,43478,2.61072261072261,-1.27784265907009
"15",2022091113,2598,"DAL","TB",0.746878041443885,52425,45052,46132,2.61072261072261,-1.86384456927873
"16",2022091113,3057,"DAL","TB",3.11238089436564,52425,45052,47788,2.61072261072261,0.501658283643032
"17",2022091113,3531,"DAL","TB",0.56955180921361,43293,46206,47877,2.61072261072261,-2.041170801509
"18",2022091113,3577,"DAL","TB",4.05243596099217,52425,53608,40031,2.61072261072261,1.44171335026956
"19",2022091113,3785,"DAL","TB",11.6382641583297,52425,43293,47788,2.61072261072261,9.02754154760707
